letters,first major arabic name,first major english name,second major arabic name,second major english name,first job arabic name,first job english name,second job arabic name,second job english name,hobby arabic name,hobby english name,diploma arabic name,diploma english name,arabic description,english description
CRP,تخصص ادارة تصميم الازياء,fashion design management,تخصص الموسيقى والآداب,music and literature,مصمم أزياء,fashion designer,مؤلف موسيقي,composer,هواية ال(بريك دانس),break dance hobby,تصميم الأزياء المسرحية,theatrical costume design,"يتسم هذا الشخص بكونه يفضل الأعمال الإبداعية، الأصيلة، و غير المنهجية، التي تحفز القدرة على الإبداع و الابتكار. من سمات هذه الشخصية أيضا: التخيل، عدم التنظيم، المثالية، الأحاسيس و المشاعر، غير عملي، غير منظم، لديه حدس .
جيد جدا في تنمية العلاقات مع الأخرين والحفاظ عليها
يجيد بث الحماسة وعطوف ولطيف ويأنس بالأخرين
كريم يحب مساعدة الأخرين بوقته أو ماله أو جهده
يحب التحدث مع الناس والاستماع لمشاكل الأخرين ومحاولة
مساعدتهم
وهنا يُحتمل وجود اضطراب من نوع (ثنائي القطب) وقد يسبب هذا الاضطراب نقص الانتباه مع فرط النشاط في مرحلة الطفولة. وهذا الاضطراب يصيب حوالي 1% من السكّان عالميا وهذا الاضطراب يعد مؤشرا على ظهور
العبقرية في كثير من الأحيان ،وذلك لارتباط عدد كبير من عباقرة وعظماء التاريخ به","this person is characterized by preferring creative, original, and unstructured work that stimulates the ability to innovate and think creatively. other traits of this personality include imagination, disorganization, idealism, emotions and feelings, impracticality, disorganization, and intuition. 

they are very good at building and maintaining relationships with others, skilled at generating enthusiasm, compassionate, kind, and enjoy being around others. they are generous, willing to help others with their time, money, or effort, enjoy talking to people, listening to their problems, and trying to help them.

there is a possibility of having a bipolar disorder, which can cause attention deficit and hyperactivity in childhood. this disorder affects around 1% of the global population and is often considered an indicator of genius, as many historical geniuses and great figures have been linked to it."
CRW,تخصص الأدب,literature,تخصص أدارة الخدمات الصحية,healthcare management,شاعر,poet,مسؤول صحة عامة,public health official,هواية العناية بالحيوانات,animal care hobby,الأدب العربي,arabic literature,"يتسم هذا الشخص بكونه يفضل الأعمال الإبداعية، الأصيلة، و غير المنهجية، التي تحفز القدرة على الإبداع و الابتكار. من سمات هذه الشخصية أيضا: التخيل، عدم التنظيم، المثالية، الأحاسيس و المشاعر، غير عملي، غير منظم، لديه حدس .
جيد جدا في تنمية العلاقات مع الأخرين والحفاظ عليها
يجيد بث الحماسة وعطوف ولطيف ويأنس بالأخرين
كريم يحب مساعدة الأخرين بوقته أو ماله أو جهده
 يحب التحدث مع الناس والاستماع لمشاكل الأخرين ومحاولة مساعدتهم
 يحب ركوب المخاطر، مغامر. سريع، حيوي. ذو رؤية، غير تقليدي.
 إبداعي، ابتكاري. مرن، متعدد المواهب. يعالج عدة مهام، متكيف.
عفوي، غير متماسك. حماسي، ذو حس فكاهي. ذو روح متحررة، طليق.","this person is characterized by preferring creative, original, and unstructured work that stimulates the ability to innovate and think creatively. other traits of this personality include imagination, disorganization, idealism, emotions and feelings, impracticality, disorganization, and intuition. 

they are very good at building and maintaining relationships with others, skilled at generating enthusiasm, compassionate, kind, and enjoy being around others. they are generous, willing to help others with their time, money, or effort, enjoy talking to people, listening to their problems, and trying to help them.

they enjoy taking risks, are adventurous, fast, energetic, visionary, and unconventional. creative and innovative, flexible, and multi-talented. they handle multiple tasks, adaptable, spontaneous, and sometimes incoherent. they are enthusiastic, have a sense of humor, and possess a free spirit."
CRS,تخصص ترجمة لغات وآداب,translation and language studies,تخصص التخطيط الاستراتيجي والتنمية,strategic planning and development,معلم لغة اجنبية,foreign language teacher,مدرب تنمية بشرية,human development instructor,هواية الكروشيه,crochet hobby,دبلوم ادارة الأوقاف,diploma in waqf management,"يتسم هذا الشخص بكونه يفضل الأعمال الإبداعية، الأصيلة، و غير المنهجية، التي تحفز القدرة على الإبداع و الابتكار. من سمات هذه الشخصية أيضا: التخيل، عدم التنظيم، المثالية،
الأحاسيس و المشاعر، غير عملي، غير منظم، لديه حدس .
 عضو فريق، اجتماعي. ودود، محبوب. بطيء،
مسترخ. متمركز حول العملية. متفهم، صبور ، متعاون
جيد جدا في تنمية العلاقات مع الأخرين والحفاظ عليها
يجيد بث الحماسة وعطوف ولطيف ويأنس بالأخرين
كريم يحب مساعدة الأخرين بوقته أو ماله أو جهده
 يحب التحدث مع الناس والاستماع لمشاكل الأخرين ومحاولة مساعدتهم","this person is characterized by preferring creative, original, and unstructured work that stimulates the ability to innovate and think creatively. other traits of this personality include imagination, disorganization, idealism, emotions and feelings, impracticality, disorganization, and intuition. 

they are a team member, sociable, friendly, and likable. slow, relaxed, process-oriented, understanding, patient, and cooperative. 

they are very good at building and maintaining relationships with others, skilled at generating enthusiasm, compassionate, kind, and enjoy being around others. they are generous, willing to help others with their time, money, or effort. they enjoy talking to people, listening to their problems, and trying to help them."
CRN,تخصص التنمية البشرية,human development,تخصص الاعداد والانتاج الفني,art direction and production,متخصص تنمية اجتماعية,social development specialist,معد برامج تلفازية,television programmer,هواية التلوين,coloring hobby,دبلوم إدارة الموارد البشرية,diploma in human resources management,"يتسم هذا الشخص بكونه يفضل الأعمال الإبداعية، الأصيلة، و غير المنهجية، التي تحفز القدرة على الإبداع و الابتكار. من
سمات هذه الشخصية أيضا: التخيل، عدم التنظيم، المثالية،
الأحاسيس و المشاعر، غير عملي، غير منظم، لديه حدس .
 حاسم، مسيطر. سريع الحركة، ذاتي البدء. واثق من نفسه،
تسلطي.
 متمركز حول الهدف، طموح. منفتح، مباشر، قوي الإرادة.
 تنافسي، ذو عزيمة. قائد مكافح.
 مهتم بالعمل، يمكن الاعتماد عليه. مدفوع بالعمل، جسور.
جيد جدا في تنمية العلاقات مع الأخرين والحفاظ عليها
يجيد بث الحماسة وعطوف ولطيف ويأنس بالأخرين
كريم يحب مساعدة الأخرين بوقته أو ماله أو جهده
 يحب التحدث مع الناس والاستماع لمشاكل الأخرين ومحاولة
مساعدتهم","this person is characterized by preferring creative, original, and unstructured work that stimulates the ability to innovate and think creatively. other traits of this personality include imagination, disorganization, idealism, emotions and feelings, impracticality, disorganization, and intuition.

they are decisive, controlling, fast-moving, self-starting, confident, and authoritative. focused on goals, ambitious, open, direct, determined, and competitive. they have strong willpower, are determined, and work hard as a leader.

they are reliable and driven by work, courageous, and also very good at building and maintaining relationships with others. they excel at inspiring enthusiasm, are compassionate, kind, and enjoy being around others. they are generous and like helping others with their time, money, or effort. they enjoy talking with people, listening to their problems, and trying to help them."
DRN,تخصص الفنون التشكيلية,visual arts,تخصص الارشاد السياحي,tourism guidance,نحات,sculptor,مرشد سياحي,tour guide,هواية التلوين,coloring hobby,دبلوم الرسم,diploma in  drawing,"يتسم هذا الشخص بكونه يفضل الأعمال الإبداعية، الأصيلة، و غير المنهجية، التي تحفز القدرة على الإبداع و الابتكار. من سمات هذه الشخصية أيضا: التخيل،
عدم التنظيم، المثالية، الأحاسيس و المشاعر، غير عملي،
غير منظم، لديه حدس
 حاسم، مسيطر. سريع الحركة، ذاتي البدء. واثق من نفسه، تسلطي.
 متمركز حول الهدف، طموح. منفتح، مباشر، قوي الإرادة.
 تنافسي، ذو عزيمة. قائد مكافح.
 مهتم بالعمل، يمكن الاعتماد عليه. مدفوع بالعمل، جسور.
 يدرك الكثير بالحدس أكثر من المنطق ، المال للأنفاق وليس
للاكتناز ، يكره الروتين ،مندفع أحيانا ، تستهويه الأفكار الغريبة ، يعمل في أكثر من شيء في وقت واحد لا يدقق في التفاصيل ، يتمتع بحس الدعابة لا يحب التقيد بالقوانين ، ويحاول اكتشاف الأشياء الجديدة بنفسه","this person is characterized by preferring creative, original, and unstructured work that stimulates the ability to innovate and think creatively. other traits of this personality include imagination, disorganization, idealism, emotions and feelings, impracticality, disorganization, and intuition.

they are decisive, controlling, fast-moving, self-starting, confident, and authoritative. they are goal-oriented, ambitious, open, direct, strong-willed, competitive, and determined. they are a hard-working leader.

they are focused on work, reliable, driven by work, and courageous. they are more intuitive than logical, view money as something to be spent rather than saved, dislike routine, are sometimes impulsive, enjoy unconventional ideas, work on multiple tasks at once, and do not focus on details. they have a good sense of humor, dislike following rules, and enjoy discovering new things on their own."
DRW,تخصص تقنيات الرسم والتزين,drawing and decoration techniques,تخصص الأدب والشعر,literature and poetry,رسام,artist,مؤلف موسيقي,composer,هواية ممارسة اليوغا,practice yoga hobby,دبلوم الرسم,diploma in  drawing,"يتسم هذا الشخص بكونه يفضل الأعمال الإبداعية، الأصيلة، و غير المنهجية، التي تحفز القدرة على الإبداع و الابتكار. من سمات هذه الشخصية أيضا: التخيل،
عدم التنظيم، المثالية، الأحاسيس و المشاعر، غير عملي،
غير منظم، لديه حدس
 يحب ركوب المخاطر، مغامر. سريع، حيوي. ذو رؤية، غير تقليدي.
 إبداعي، ابتكاري. مرن، متعدد المواهب. يعالج عدة مهام، متكيف.
 عفوي، غير متماسك. حماسي، ذو حس فكاهي. ذو روح متحررة، طليق. متمركز حول الفكرة
 يدرك الكثير بالحدس أكثر من المنطق ، المال للأنفاق وليس للاكتناز ، يكره الروتين ،مندفع أحيانا ، تستهويه الأفكار الغريبة ، يعمل في أكثر من شيء في وقت واحد لا يدقق في التفاصيل ، يتمتع بحس الدعابة لا يحب التقيد بالقوانين ،
ويحاول اكتشاف الأشياء الجديدة بنفسه","this person is characterized by preferring creative, original, and unstructured work that stimulates the ability to innovate and think creatively. other traits of this personality include imagination, disorganization, idealism, emotions and feelings, impracticality, disorganization, and intuition.

they love taking risks, are adventurous, fast, energetic, visionary, and unconventional. they are creative, innovative, flexible, and multi-talented. they handle multiple tasks and adapt easily. they are spontaneous, inconsistent, enthusiastic, and have a good sense of humor. their spirit is free-spirited and independent, centered around ideas.

they rely on intuition more than logic, see money as something to spend rather than save, dislike routine, are sometimes impulsive, enjoy unconventional ideas, work on several things at once, do not focus on details, have a sense of humor, dislike following rules, and enjoy discovering new things on their own."
DRS,تخصص الديكور والفنون التشكيلية,interior decoration and visual arts,تخصص هندسة أمن وسلامة,safety and security engineering,اخصائي فنون تشكيلية,fine arts specialist,متخصص ارشاد مهني,career guidance specialist,هواية الكروشيه,crochet hobby,دبلوم الرسم,diploma in  drawing,"يتسم هذا الشخص بكونه يفضل الأعمال الإبداعية، الأصيلة، و غير المنهجية، التي تحفز القدرة على الإبداع و الابتكار. من سمات هذه الشخصية أيضا: التخيل،
عدم التنظيم، المثالية، الأحاسيس و المشاعر، غير عملي،
غير منظم، لديه حدس .
وهو عضو فريق، اجتماعي. ودود، محبوب. بطيء،
مسترخ. متمركز حول العملية. متفهم، صبور ، متعاون
 يدرك الكثير بالحدس أكثر من المنطق ، المال للأنفاق وليس للاكتناز ، يكره الروتين ،مندفع أحيانا ، تستهويه الأفكار الغريبة ، يعمل في أكثر من شيء في وقت واحد لا يدقق في التفاصيل ، يتمتع بحس الدعابة لا يحب التقيد بالقوانين ،
ويحاول اكتشاف الأشياء الجديدة بنفسه","this person is characterized by preferring creative, original, and unstructured work that stimulates the ability to innovate and think creatively. other traits of this personality include imagination, disorganization, idealism, emotions and feelings, impracticality, disorganization, and intuition.

they are a team member, social, friendly, and well-liked. they are slow, relaxed, and process-oriented, with a deep understanding, patience, and cooperativeness. they rely more on intuition than logic, view money as something to spend rather than save, dislike routine, can be impulsive at times, are attracted to unconventional ideas, multitask without focusing on details, have a good sense of humor, dislike following rules, and enjoy discovering new things on their own."
DRE,تخصص الاعلام والصحافة,media and journalism,تخصص هندسة الحاسب وتقنية المعلومات,computer engineering and information technology,مصور فوتوغرافي,photographer,متخصص نظم معلومات,information systems specialist,هواية الكتابة الإبداعية,creative writing hobby,إعلام,media,"يتسم هذا الشخص بكونه يفضل الأعمال الإبداعية، الأصيلة، و غير المنهجية، التي تحفز القدرة على الإبداع و الابتكار. من سمات هذه الشخصية أيضا: التخيل،
عدم التنظيم، المثالية، الأحاسيس و المشاعر، غير عملي،
غير منظم، لديه حدس .
 متمركز حول الجودة. مغرم بالتفاصيل . بطيء،
متأن. مركز، مُخطط منظم. لائق، دقيق. جاد،
مسئول. تقليدي، محافظ. جاد، متحفظ.
 يدرك الكثير بالحدس أكثر من المنطق ، المال للأنفاق وليس
للاكتناز ، يكره الروتين ،مندفع أحيانا ، تستهويه الأفكار الغريبة ، يعمل في أكثر من شيء في وقت واحد ، يتمتع بحس الدعابة لا يحب التقيد بالقوانين ، ويحاول اكتشاف الأشياء الجديدة بنفسه","this person is characterized by preferring creative, original, and unstructured work that stimulates the ability to innovate and think creatively. other traits of this personality include imagination, disorganization, idealism, emotions and feelings, impracticality, disorganization, and intuition.

they are focused on quality, love details, and tend to be slow, deliberate, and methodical. they are organized planners, proper, accurate, serious, responsible, traditional, conservative, reserved, and cautious.

they rely more on intuition than logic, see money as something to spend rather than save, dislike routine, can be impulsive at times, are drawn to unconventional ideas, multitask without focusing on details, enjoy humor, dislike following rules, and prefer discovering new things on their own."
AOW,تخصص البيولوجيا والمختبرات الطبية,biology and medical laboratory sciences,تخصص ريادة الاعمال,entrepreneurship,معالج بيانات,data processor,رائد أعمال,entrepreneur,هواية الطبخ,cooking hobby,دبلوم الصحة العامة,public health diploma,"يحب ركوب المخاطر، مغامر. سريع، حيوي. ذو رؤية، غير تقليدي.
 إبداعي، ابتكاري. مرن، متعدد المواهب. يعالج عدة مهام، متكيف.
 عفوي، غير متماسك. حماسي، ذو حس فكاهي. ذو روح متحررة، طليق.
ويفضل صاحب هذه الشخصية بالأعمال التي لها طابع خيري اجتماعي يساهم في
مساعدة الآخرين، شفائهم أو تطويرهم نحو الأفضل. من سمات صاحب هذه
الشخصية أنه: متعاون ،لطيف اجتماعي، متفهم، صبور، يعتني بالأشخاص. يحب
الأعمال التي تكون ضمن فريق، بناء العلاقات، و الارتقاء بالمجتمع .
 الحرص على الدقة والبحث عن الحقائق ، جفاف المشاعر أحيانا
 الإحساس بالقدرة على تطويع الأرقام ودلالاتها والقدرة العالية في تعليل
الأحداث واستنتاج أثارها
 يعتقد إن الإنتاجية أهم بكثير من المشاعر والسعي وراء المعلومات ولو خارج تخصصه","this person enjoys taking risks, is adventurous, quick, energetic, visionary, and unconventional. they are creative, innovative, flexible, multi-talented, and able to handle multiple tasks while being adaptable. they are spontaneous, disjointed at times, enthusiastic, humorous, free-spirited, and liberated.

the individual with this personality type prefers work with a social and charitable nature that contributes to helping, healing, or improving others. they are collaborative, kind, social, understanding, patient, and caring towards people. they enjoy working in teams, building relationships, and advancing the community.

they are also focused on precision and fact-finding, sometimes displaying emotional dryness. they possess a strong ability to manipulate numbers and understand their implications, with a high capability for reasoning and predicting the effects of events. they believe that productivity is much more important than emotions and are driven by a pursuit of knowledge, even outside their area of expertise."
AON,تخصص الدراسات الامنية ( تدريب ),security studies (training),تخصص ادارة العلوم اللوجستية,logistics and supply chain management,ضابط عسكري,military officer,مدير لوجستيات وتمويل,logistics and finance manager,هواية ال(بريك دانس),break dance hobby,علوم عسكرية,military science,"حاسم، مسيطر. سريع الحركة، ذاتي البدء. واثق من نفسه، تسلطي.
 متمركز حول الهدف، طموح. منفتح، مباشر، قوي الإرادة.
 تنافسي، ذو عزيمة. قائد مكافح.
 مهتم بالعمل، يمكن الاعتماد عليه. مدفوع بالعمل، جسور.
كما يفضل صاحب هذه الشخصية الأعمال التي لها طابع خيري اجتماعي يساهم
في مساعدة الآخرين، شفائهم أو تطويرهم نحو الأفضل. من سمات صاحب هذه
الشخصية أنه: متعاون، لطيف، اجتماعي، متفهم، صبور، يعتني بالأشخاص. يحب
الأعمال التي تكون ضمن فريق، بناء العلاقات، و الارتقاء بالمجتمع .
 الحرص على الدقة والبحث عن الحقائق وجفاف المشاعر أحيانا
 الإحساس بالقدرة على تطويع الأرقام ودلالاتها
 القدرة العالية في تعليل الأحداث واستنتاج أثارها
 يعتقد إن الإنتاجية أهم بكثير من المشاعر
السعي وراء المعلومات ولو خارج تخصصه","decisive and dominant, this person is quick-moving, self-starting, and confident, with a strong, authoritative presence. they are goal-oriented, ambitious, open, direct, and strong-willed. competitive and determined, they are a relentless leader who perseveres through challenges. they are highly work-driven, dependable, and courageous in their pursuits.  

at the same time, they prefer work that has a charitable and social aspect, contributing to helping, healing, or improving others. their personality is characterized by being cooperative, kind, social, understanding, patient, and caring towards people. they enjoy team-oriented work, building relationships, and uplifting the community.  

they value precision and fact-finding, sometimes appearing emotionally detached. they have a strong ability to analyze numbers and interpret their meanings, with exceptional reasoning skills to assess events and predict their consequences. they believe that productivity is far more important than emotions and are constantly seeking knowledge, even beyond their area of expertise."
AOS,تخصص الدراسات الدينية والاجتماعية,religious and social studies,تخصص الخدمة الاجتماعية,social work,إخصائي اجتماعي,social worker,مدير مؤسسة اجتماعية,social enterprise manager,هواية التلوين,coloring hobby,علم اجتماع,sociology,"عضو فريق، اجتماعي. ودود، محبوب. بطيء، مسترخ. متمركز حول
العملية. متفهم، صبور ، متعاون
يفضل صاحب هذه الشخصية بالأعمال التي لها طابع خيري اجتماعي يساهم في
مساعدة الآخرين، شفائهم أو تطويرهم نحو الأفضل. من سمات صاحب هذه
الشخصية أنه: متعاون،لطيف،اجتماعي، متفهم، صبور، يعتني بالأشخاص. يحب
الأعمال التي تكون ضمن فريق، بناء العلاقات، و الإرتقاء بالمجتمع .
 الحرص على الدقة والبحث عن الحقائق
 جفاف المشاعر أحيانا
 الإحساس بالقدرة على تطويع الأرقام ودلالاتها
 القدرة العالية في تعليل الأحداث واستنتاج أثارها
 يعتقد إن الإنتاجية أهم بكثير من المشاعر
السعي وراء المعلومات ولو خارج تخصصه","a team player, social, friendly, and well-liked. they are slow-paced, relaxed, process-oriented, understanding, patient, and cooperative.  

this person prefers work with a charitable and social nature, contributing to helping, healing, or improving others. their personality traits include being cooperative, kind, social, understanding, and patient, with a strong sense of care for others. they enjoy teamwork, building relationships, and uplifting the community.  

they value accuracy and fact-finding, sometimes appearing emotionally detached. they have a strong ability to analyze numbers and interpret their meanings, along with high reasoning skills to assess events and predict their consequences. they believe that productivity is far more important than emotions and constantly seek knowledge, even outside their field of expertise."
AOP,تخصص علوم الفلك والفضاء,astronomy and space science,تخصص طب العلاج الطبيعي,physiotherapy,مهندس طيران وفضاء,aviation and aerospace engineer,مساعد علاج طبيعي,physiotherapy assistant,هواية الكوسبلاي,cosplay hobby,دبلوم علم الفلك,diploma in astronomy,"وهنا يُحتمل وجود اضطراب من نوع (ثنائي القطب) وقد يسبب هذا الاضطراب
نقص الانتباه مع فرط النشاط في مرحلة الطفولة. وهذا الاضطراب يصيب حوالي
1 % من السكّان عالميا وهذا الاضطراب يعد مؤشرا على ظهور العبقرية في
كثير من الأحيان ،وذلك لارتباط عدد كبير من عباقرة وعظماء التاريخ به
يفضل صاحب هذه الشخصية بالأعمال التي لها طابع خيري اجتماعي يساهم في
مساعدة الآخرين، شفائهم أو تطويرهم نحو الأفضل. من سمات صاحب هذه
الشخصية أنه: متعاون،لطيف،اجتماعي، متفهم، صبور، يعتني بالأشخاص. يحب
الأعمال التي تكون ضمن فريق، بناء العلاقات، و الارتقاء بالمجتمع .
 الحرص على الدقة والبحث عن الحقائق
 جفاف المشاعر أحيانا
 الإحساس بالقدرة على تطويع الأرقام ودلالاتها
 القدرة العالية في تعليل الأحداث واستنتاج أثارها
 يعتقد إن الإنتاجية أهم بكثير من المشاعر
السعي وراء المعلومات ولو خارج تخصصه","there is a possibility of a bipolar disorder, which may cause attention deficit with hyperactivity during childhood. this disorder affects approximately 1% of the global population and is often considered an indicator of genius, as many of history’s great minds have been associated with it.  

this person prefers work with a charitable and social nature, contributing to helping, healing, or improving others. their personality traits include being cooperative, kind, social, understanding, and patient, with a strong sense of care for others. they enjoy teamwork, building relationships, and uplifting the community.  

they value accuracy and fact-finding, sometimes appearing emotionally detached. they have a strong ability to analyze numbers and interpret their meanings, along with high reasoning skills to assess events and predict their consequences. they believe that productivity is far more important than emotions and constantly seek knowledge, even outside their field of expertise."
AOE,تخصص الاحصاء والبحوث,statistics and research,تخصص الادارة التربوية,educational administration,متخصص في بحوث العمليات,specialist in operations research,مدير مدرسة,school headmaster,هواية ال(بريك دانس),break dance hobby,دبلوم المحاسبة,accounting diploma,"متمركز حول الجودة. مغرم بالتفاصيل . بطيء، متأن.
 مركز، منهجي. منطقي، تحليلي. مُخطط منظم.
 لائق، دقيق. جاد، مسئول. تقليدي، محافظ. جاد، متحفظ.
يفضل صاحب هذه الشخصية بالأعمال التي لها طابع خيري اجتماعي يساهم في
مساعدة الآخرين، شفائهم أو تطويرهم نحو الأفضل. من سمات صاحب هذه
الشخصية أنه: متعاون،لطيف،اجتماعي، متفهم، صبور، يعتني بالأشخاص. يحب
الأعمال التي تكون ضمن فريق، بناء العلاقات، و الإرتقاء بالمجتمع .
 الحرص على الدقة والبحث عن الحقائق
 جفاف المشاعر أحيانا
 الإحساس بالقدرة على تطويع الأرقام ودلالاتها
 القدرة العالية في تعليل الأحداث واستنتاج أثارها
 يعتقد إن الإنتاجية أهم بكثير من المشاعر
السعي وراء المعلومات ولو خارج تخصصه","focused on quality, detail-oriented, slow and deliberate.  
attentive, methodical, logical, and analytical.  
a structured planner, precise, responsible, traditional, and reserved.  

this person prefers work with a charitable and social nature, contributing to helping, healing, or improving others. their personality traits include being cooperative, kind, social, understanding, and patient, with a strong sense of care for others. they enjoy teamwork, building relationships, and uplifting the community.  

they are meticulous in accuracy and fact-finding, sometimes appearing emotionally detached. they have a strong ability to analyze numbers and interpret their meanings, with high reasoning skills to assess events and predict their consequences. they believe productivity is far more important than emotions and constantly seek knowledge, even outside their field of expertise."
BOS,تخصص التمريض والاسعافات الاولية,nursing and first aid,تخصص التخدير الطبي,anesthesiology,ممرض,nurse,طبيب تخدير,anesthetist,هواية الطبخ,cooking hobby,دبلوم الصحة العامة,public health diploma,"يفضل صاحب هذه الشخصية بالأعمال التي لها طابع خيري اجتماعي يساهم في مساعدة الآخرين، شفائهم أو تطويرهم نحو الأفضل. من سمات صاحب هذه الشخصية أنه:
متعاون، لطيف، اجتماعي، متفهم، صبور، يعتني بالأشخاص. يحب الأعمال التي تكون ضمن فريق، بناء العلاقات، و الارتقاء بالمجتمع .
 عضو فريق، اجتماعي. ودود، محبوب. بطيء، مسترخ. متمركز حول العملية. متفهم، صبور. متعاون
الحذر والحرص من العواقب والأخطار ،الدقة في تنفيذ الأمور خطوة بخطوة
يشعر بالراحة في أعمال التصنيف والتنظيم ،دؤوب يعتمد علية الأخرين
الميل للفعل أكثر من الفكر ، التنظيم والانضباط والتخطيط وعدم المغامرة من أهم سماته","this person prefers work with a charitable and social nature, contributing to helping others, healing them, or improving their lives. their personality traits include being cooperative, kind, social, understanding, and patient, with a strong sense of care for others. they enjoy teamwork, building relationships, and uplifting the community.  

they are a team player—friendly, well-liked, slow-paced, and relaxed. they are process-oriented, understanding, patient, and highly cooperative.  

they exercise caution and are mindful of consequences and risks, executing tasks with precision step by step. they feel comfortable in classification and organization tasks, are diligent, and can be relied upon by others.  

they tend to favor action over abstract thought, with organization, discipline, planning, and risk aversion being some of their most defining traits."
BOE,تخصص الخدمات اللوجستية,logistics services,تخصص المكتبات والعلوم المعلوماتية,library and information science,ساعي بريد,postman,امين مكتبة,librarian,هواية البرمجة,programming hobby,دبلوم إدارة اللوجستيات و سلاسل الإمداد,diploma in logistics management and supply chains,"يفضل صاحب هذه الشخصية الأعمال التي لها طابع خيري اجتماعي يساهم في مساعدة الآخرين، شفائهم أو تطويرهم نحو الأفضل. 
من سمات صاحب هذه الشخصية أنه:
متعاون، لطيف اجتماعي، متفهم، صبور، يعتني بالأشخاص. يحب الأعمال التي تكون ضمن فريق، بناء العلاقات، و الارتقاء بالمجتمع .
 مغرم بالتفاصيل . بطيء، متأن. مركز، منهجي. منطقي، تحليلي. مُخطط منظم.
 لائق، دقيق. جاد، مسئول. تقليدي، محافظ. جاد، متحفظ.
الحذر والحرص من العواقب والأخطار ،الدقة في تنفيذ الأمور خطوة بخطوة
يشعر بالراحة في أعمال التصنيف والتنظيم ،دؤوب يعتمد علية الأخرين
الميل للفعل أكثر من الفكر ، التنظيم والانضباط والتخطيط وعدم المغامرة من أهم سماته","this person prefers work with a charitable and social nature, contributing to helping others, healing them, or developing them for the better.

their personality traits include being cooperative, kind, social, understanding, and patient, with a strong sense of care for others. they enjoy teamwork, building relationships, and uplifting the community.

they are detail-oriented, slow-paced, and deliberate, with a focused, methodical, logical, and analytical approach. they are organized planners, precise, responsible, and traditional, with a serious and reserved demeanor.

they exercise caution and prudence regarding consequences and risks, ensuring precision in executing tasks step by step.

they feel comfortable in classification and organizational tasks, are diligent, and can be relied upon by others.

they tend to favor action over abstract thought, with organization, discipline, planning, and risk aversion being among their most defining traits"
BOP,تخصص الادارة المهنية,professional management,تخصص الفنون التمثيلية,performing arts,مشرف عمال,supervisor,ممثل تراجيدي,tragic actor,هواية الكتابة الإبداعية,creative writing hobby,دبلوم السلامة والصحة المهنية,diploma in occupational safety and health,"يفضل صاحب هذه الشخصية أن يساهم في مساعدة الآخرين أو تطويرهم نحو الأفضل. وأنه: متعاون، لطيف، اجتماعي، متفهم، صبور، يعتني بالأشخاص. يحب الأعمال التي تكون ضمن فريق، بناء العلاقات، و الارتقاء بالمجتمع . و يتسم بالحذر والحرص من العواقب والأخطار ،الدقة في تنفيذ الأمور خطوة بخطوة
يشعر بالراحة في أعمال التصنيف والتنظيم ،دؤوب يعتمد عليه الأخرين
الميل للفعل أكثر من الفكر ، التنظيم والانضباط والتخطيط وعدم المغامرة من أهم سماته
وهنا يُحتمل وجود إضطراب من نوع )ثنائى القطب( وقد يسبب هذا الإضطراب نقص
الانتباه مع فرط النشاط فى مرحلة الطفولة. وهذا الاضطراب يصيب حوالي 1% من السكّان عالميا،ً وهذا الإضطراب يعد مؤشرا على ظهور العبقرية فى كثير من الأحيان
،وذلك لأرتباط عدد كبير من عباقرة وعظماء التاريخ به","this person prefers to contribute to helping others or developing them for the better.

they are cooperative, kind, social, understanding, and patient, with a strong sense of care for others. they enjoy teamwork, building relationships, and uplifting the community.

they are cautious and mindful of consequences and risks, ensuring precision in executing tasks step by step.

they feel comfortable with classification and organizational tasks, are diligent and reliable, and are often depended on by others.

they have a tendency toward action rather than abstract thinking, with organization, discipline, planning, and risk aversion being among their most defining traits."
